time	ctime	crpm	ccrpm	cfr	ccfr	cmdl	cpx	cpy	cpz	cm	ct	csn	cbn	cls	clx	cly	clz	asprms	aaccrms	asoundrms	cut
211105 14:18:31.675	8.912	600.000000	600.000000	48.000000	8.000000	G01	50.377000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.472705	0.165176	0.007111	1	
211105 14:18:31.775	9.012	600.000000	600.000000	48.000000	8.000000	G01	50.377000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.292036	0.270917	0.007128	1	
211105 14:18:31.875	9.112	600.000000	600.000000	48.000000	8.000000	G01	50.377000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.516201	0.253516	0.007416	1	
211105 14:18:31.975	9.212	601.000000	600.000000	48.000000	8.000000	G01	49.864000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.524449	0.144412	0.007415	1	
211105 14:18:32.075	9.312	601.000000	600.000000	48.000000	8.000000	G01	49.864000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.505341	0.174198	0.007218	1	
211105 14:18:32.175	9.412	601.000000	600.000000	48.000000	8.000000	G01	49.864000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.564088	0.284508	0.007470	1	
211105 14:18:32.275	9.512	600.000000	600.000000	48.000000	8.000000	G01	49.352000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.532193	0.146010	0.007103	1	
211105 14:18:32.375	9.612	600.000000	600.000000	48.000000	8.000000	G01	49.352000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.580873	0.212837	0.007266	1	
211105 14:18:32.475	9.712	600.000000	600.000000	48.000000	8.000000	G01	49.352000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.514373	0.450110	0.007756	1	
211105 14:18:32.575	9.812	601.000000	600.000000	48.000000	8.000000	G01	48.840000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.393522	0.255483	0.007545	1	
211105 14:18:32.675	9.912	601.000000	600.000000	48.000000	8.000000	G01	48.840000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.375012	0.133796	0.007565	1	
211105 14:18:32.775	10.012	601.000000	600.000000	48.000000	8.000000	G01	48.840000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.533850	0.117448	0.007493	1	
211105 14:18:32.875	10.112	600.000000	600.000000	48.000000	8.000000	G01	48.328000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.454211	0.152290	0.007521	1	
211105 14:18:32.975	10.212	600.000000	600.000000	48.000000	8.000000	G01	48.328000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.435456	0.210048	0.007459	1	
211105 14:18:33.075	10.312	600.000000	600.000000	48.000000	8.000000	G01	48.328000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.599845	0.275137	0.007740	1	
211105 14:18:33.175	10.412	600.000000	600.000000	48.000000	8.000000	G01	47.867000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.597152	0.275646	0.007478	1	
211105 14:18:33.275	10.512	600.000000	600.000000	48.000000	8.000000	G01	47.867000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.470414	0.275219	0.007210	1	
211105 14:18:33.375	10.612	600.000000	600.000000	48.000000	8.000000	G01	47.867000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.451842	0.296980	0.007331	1	
211105 14:18:33.475	10.712	601.000000	600.000000	48.000000	8.000000	G01	47.405000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.538873	0.273344	0.007903	1	
211105 14:18:33.575	10.812	601.000000	600.000000	48.000000	8.000000	G01	47.405000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.405521	0.284647	0.007504	1	
211105 14:18:33.675	10.912	601.000000	600.000000	48.000000	8.000000	G01	47.405000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.402253	0.115003	0.007624	1	
211105 14:18:33.775	11.012	600.000000	600.000000	48.000000	8.000000	G01	46.893000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.491261	0.174259	0.007409	1	
211105 14:18:33.875	11.112	600.000000	600.000000	48.000000	8.000000	G01	46.893000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.509949	0.178384	0.007264	1	
211105 14:18:33.975	11.212	600.000000	600.000000	48.000000	8.000000	G01	46.893000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.491852	0.138937	0.007111	1	
211105 14:18:34.075	11.312	601.000000	600.000000	48.000000	8.000000	G01	46.381000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.508974	0.175986	0.007274	1	
211105 14:18:34.175	11.412	601.000000	600.000000	48.000000	8.000000	G01	46.381000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.532595	0.146840	0.007347	1	
211105 14:18:34.275	11.512	601.000000	600.000000	48.000000	8.000000	G01	46.381000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.522387	0.124431	0.007205	1	
211105 14:18:34.375	11.612	601.000000	600.000000	48.000000	8.000000	G01	46.381000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.462245	0.141942	0.007337	1	
211105 14:18:34.475	11.712	600.000000	600.000000	48.000000	8.000000	G01	45.920000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.336429	0.118985	0.007402	1	
211105 14:18:34.575	11.812	600.000000	600.000000	48.000000	8.000000	G01	45.920000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.493741	0.143820	0.007241	1	
211105 14:18:34.675	11.912	600.000000	600.000000	48.000000	8.000000	G01	45.920000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.482165	0.181499	0.007406	1	
211105 14:18:34.775	12.012	600.000000	600.000000	48.000000	8.000000	G01	45.356000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.392763	0.132333	0.007104	1	
211105 14:18:34.875	12.112	600.000000	600.000000	48.000000	8.000000	G01	45.356000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.442019	0.153391	0.007164	1	
211105 14:18:34.975	12.212	600.000000	600.000000	48.000000	8.000000	G01	45.356000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.575802	0.139150	0.007542	1	
